id;root;rootN;family;modeNr;modeName;RMS;spelling;n1;n2;n3;n4;n5;n6;n7;n8;nn1;nn2;nn3;nn4;nn5;nn6;nn7;nn8;c1;c2;c3;c4;c5;c6;c7;c8
1;1;C;Modes of the Major Scale;1;Ionian;1;b;1;3;5;6;8;10;12;;C;D;E;F;G;A;B;;maj;min;min;maj;maj;min;dim;
2;2;Db;Modes of the Major Scale;1;Ionian;2;b;2;4;6;7;9;11;1;;Db;Eb;F;Gb;Ab;Bb;C;;maj;min;min;maj;maj;min;dim;
3;3;D;Modes of the Major Scale;1;Ionian;3;;3;5;7;8;10;12;2;;D;E;F#;G;A;B;C#;;maj;min;min;maj;maj;min;dim;
4;4;Eb;Modes of the Major Scale;1;Ionian;4;b;4;6;8;9;11;1;3;;Eb;F;G;Ab;Bb;C;D;;maj;min;min;maj;maj;min;dim;
5;5;E;Modes of the Major Scale;1;Ionian;5;;5;7;9;10;12;2;4;;E;F#;G#;A;B;C#;D#;;maj;min;min;maj;maj;min;dim;
6;6;F;Modes of the Major Scale;1;Ionian;6;b;6;8;10;11;1;3;5;;F;G;A;Bb;C;D;E;;maj;min;min;maj;maj;min;dim;
7;7;F#;Modes of the Major Scale;1;Ionian;7;;7;9;11;12;2;4;6;;F#;G#;A#;B;C#;D#;F;;maj;min;min;maj;maj;min;dim;
8;8;G;Modes of the Major Scale;1;Ionian;8;;8;10;12;1;3;5;7;;G;A;B;C;D;E;F#;;maj;min;min;maj;maj;min;dim;
9;9;Ab;Modes of the Major Scale;1;Ionian;9;b;9;11;1;2;4;6;8;;Ab;Bb;C;Db;Eb;F;G;;maj;min;min;maj;maj;min;dim;
10;10;A;Modes of the Major Scale;1;Ionian;10;;10;12;2;3;5;7;9;;A;B;C#;D;E;F#;G#;;maj;min;min;maj;maj;min;dim;
11;11;Bb;Modes of the Major Scale;1;Ionian;11;b;11;1;3;4;6;8;10;;Bb;C;D;Eb;F;G;A;;maj;min;min;maj;maj;min;dim;
12;12;B;Modes of the Major Scale;1;Ionian;12;;12;2;4;5;7;9;11;;B;C#;D#;E;F#;G#;A#;;maj;min;min;maj;maj;min;dim;
13;1;C;Modes of the Major Scale;2;Dorian;4;b;1;3;4;6;8;10;11;;C;D;Eb;F;G;A;Bb;;min;min;maj;maj;min;dim;maj;
14;2;C#;Modes of the Major Scale;2;Dorian;5;;2;4;5;7;9;11;12;;C#;D#;E;F#;G#;A#;B;;min;min;maj;maj;min;dim;maj;
15;3;D;Modes of the Major Scale;2;Dorian;6;b;3;5;6;8;10;12;1;;D;E;F;G;A;B;C;;min;min;maj;maj;min;dim;maj;
16;4;D#;Modes of the Major Scale;2;Dorian;7;;4;6;7;9;11;1;2;;D#;F;F#;G#;A#;C;C#;;min;min;maj;maj;min;dim;maj;
17;5;E;Modes of the Major Scale;2;Dorian;8;;5;7;8;10;12;2;3;;E;F#;G;A;B;C#;D;;min;min;maj;maj;min;dim;maj;
18;6;F;Modes of the Major Scale;2;Dorian;9;b;6;8;9;11;1;3;4;;F;G;Ab;Bb;C;D;Eb;;min;min;maj;maj;min;dim;maj;
19;7;F#;Modes of the Major Scale;2;Dorian;10;;7;9;10;12;2;4;5;;F#;G#;A;B;C#;D#;E;;min;min;maj;maj;min;dim;maj;
20;8;G;Modes of the Major Scale;2;Dorian;11;b;8;10;11;1;3;5;6;;G;A;Bb;C;D;E;F;;min;min;maj;maj;min;dim;maj;
21;9;G#;Modes of the Major Scale;2;Dorian;12;;9;11;12;2;4;6;7;;G#;A#;B;C#;D#;F;F#;;min;min;maj;maj;min;dim;maj;
22;10;A;Modes of the Major Scale;2;Dorian;1;b;10;12;1;3;5;7;8;;A;B;C;D;E;Gb;G;;min;min;maj;maj;min;dim;maj;
23;11;Bb;Modes of the Major Scale;2;Dorian;2;b;11;1;2;4;6;8;9;;Bb;C;Db;Eb;F;G;Ab;;min;min;maj;maj;min;dim;maj;
24;12;B;Modes of the Major Scale;2;Dorian;3;;12;2;3;5;7;9;10;;B;C#;D;E;F#;G#;A;;min;min;maj;maj;min;dim;maj;
25;1;C;Modes of the Major Scale;3;Phrygian;9;b;1;2;4;6;8;9;11;;C;Db;Eb;F;G;Ab;Bb;;min;maj;maj;min;dim;maj;min;
26;2;C#;Modes of the Major Scale;3;Phrygian;10;;2;3;5;7;9;10;12;;C#;D;E;F#;G#;A;B;;min;maj;maj;min;dim;maj;min;
27;3;D;Modes of the Major Scale;3;Phrygian;11;b;3;4;6;8;10;11;1;;D;Eb;F;G;A;Bb;C;;min;maj;maj;min;dim;maj;min;
28;4;D#;Modes of the Major Scale;3;Phrygian;12;;4;5;7;9;11;12;2;;D#;E;F#;G#;A#;B;C#;;min;maj;maj;min;dim;maj;min;
29;5;E;Modes of the Major Scale;3;Phrygian;1;b;5;6;8;10;12;1;3;;E;F;G;A;B;C;D;;min;maj;maj;min;dim;maj;min;
30;6;F;Modes of the Major Scale;3;Phrygian;2;b;6;7;9;11;1;2;4;;F;Gb;Ab;Bb;C;Db;Eb;;min;maj;maj;min;dim;maj;min;
31;7;F#;Modes of the Major Scale;3;Phrygian;3;;7;8;10;12;2;3;5;;F#;G;A;B;C#;D;E;;min;maj;maj;min;dim;maj;min;
32;8;G;Modes of the Major Scale;3;Phrygian;4;b;8;9;11;1;3;4;6;;G;Ab;Bb;C;D;Eb;F;;min;maj;maj;min;dim;maj;min;
33;9;G#;Modes of the Major Scale;3;Phrygian;5;;9;10;12;2;4;5;7;;G#;A;B;C#;D#;E;F#;;min;maj;maj;min;dim;maj;min;
34;10;A;Modes of the Major Scale;3;Phrygian;6;b;10;11;1;3;5;6;8;;A;Bb;C;D;E;F;G;;min;maj;maj;min;dim;maj;min;
35;11;A#;Modes of the Major Scale;3;Phrygian;7;;11;12;2;4;6;7;9;;A#;B;C#;D#;F;F#;G#;;min;maj;maj;min;dim;maj;min;
36;12;B;Modes of the Major Scale;3;Phrygian;8;;12;1;3;5;7;8;10;;B;C;D;E;F#;G;A;;min;maj;maj;min;dim;maj;min;
37;1;C;Modes of the Major Scale;4;Lydian;8;;1;3;5;7;8;10;12;;C;D;E;F#;G;A;B;;maj;maj;min;dim;maj;min;min;
38;2;Db;Modes of the Major Scale;4;Lydian;9;b;2;4;6;8;9;11;1;;Db;Eb;F;G;Ab;Bb;C;;maj;maj;min;dim;maj;min;min;
39;3;D;Modes of the Major Scale;4;Lydian;10;;3;5;7;9;10;12;2;;D;E;F#;G#;A;B;C#;;maj;maj;min;dim;maj;min;min;
40;4;Eb;Modes of the Major Scale;4;Lydian;11;b;4;6;8;10;11;1;3;;Eb;F;G;A;Bb;C;D;;maj;maj;min;dim;maj;min;min;
41;5;E;Modes of the Major Scale;4;Lydian;12;;5;7;9;11;12;2;4;;E;F#;G#;A#;B;C#;D#;;maj;maj;min;dim;maj;min;min;
42;6;F;Modes of the Major Scale;4;Lydian;1;b;6;8;10;12;1;3;5;;F;G;A;B;C;D;E;;maj;maj;min;dim;maj;min;min;
43;7;Gb;Modes of the Major Scale;4;Lydian;2;b;7;9;11;1;2;4;6;;Gb;Ab;Bb;C;Db;Eb;F;;maj;maj;min;dim;maj;min;min;
44;8;G;Modes of the Major Scale;4;Lydian;3;;8;10;12;2;3;5;7;;G;A;B;C#;D;E;F#;;maj;maj;min;dim;maj;min;min;
45;9;Ab;Modes of the Major Scale;4;Lydian;4;b;9;11;1;3;4;6;8;;Ab;Bb;C;D;Eb;F;G;;maj;maj;min;dim;maj;min;min;
46;10;A;Modes of the Major Scale;4;Lydian;5;;10;12;2;4;5;7;9;;A;B;C#;D#;E;F#;G#;;maj;maj;min;dim;maj;min;min;
47;11;Bb;Modes of the Major Scale;4;Lydian;6;b;11;1;3;5;6;8;10;;Bb;C;D;E;F;G;A;;maj;maj;min;dim;maj;min;min;
48;12;B;Modes of the Major Scale;4;Lydian;7;;12;2;4;6;7;9;11;;B;C#;D#;F;F#;G#;A#;;maj;maj;min;dim;maj;min;min;
49;1;C;Modes of the Major Scale;5;Mixolydian;6;b;1;3;5;6;8;10;11;;C;D;E;F;G;A;Bb;;maj;min;dim;maj;min;min;maj;
50;2;C#;Modes of the Major Scale;5;Mixolydian;7;;2;4;6;7;9;11;12;;C#;D#;F;F#;G#;A#;B;;maj;min;dim;maj;min;min;maj;
51;3;D;Modes of the Major Scale;5;Mixolydian;8;;3;5;7;8;10;12;1;;D;E;F#;G;A;B;C;;maj;min;dim;maj;min;min;maj;
52;4;Eb;Modes of the Major Scale;5;Mixolydian;9;b;4;6;8;9;11;1;2;;Eb;F;G;Ab;Bb;C;Db;;maj;min;dim;maj;min;min;maj;
53;5;E;Modes of the Major Scale;5;Mixolydian;10;;5;7;9;10;12;2;3;;E;F#;G#;A;B;C#;D;;maj;min;dim;maj;min;min;maj;
54;6;F;Modes of the Major Scale;5;Mixolydian;11;b;6;8;10;11;1;3;4;;F;G;A;Bb;C;D;Eb;;maj;min;dim;maj;min;min;maj;
55;7;F#;Modes of the Major Scale;5;Mixolydian;12;;7;9;11;12;2;4;5;;F#;G#;A#;B;C#;D#;E;;maj;min;dim;maj;min;min;maj;
56;8;G;Modes of the Major Scale;5;Mixolydian;1;b;8;10;12;1;3;5;6;;G;A;B;C;D;E;F;;maj;min;dim;maj;min;min;maj;
57;9;Ab;Modes of the Major Scale;5;Mixolydian;2;b;9;11;1;2;4;6;7;;Ab;Bb;C;Db;Eb;F;Gb;;maj;min;dim;maj;min;min;maj;
58;10;A;Modes of the Major Scale;5;Mixolydian;3;;10;12;2;3;5;7;8;;A;B;C#;D;E;F#;G;;maj;min;dim;maj;min;min;maj;
59;11;Bb;Modes of the Major Scale;5;Mixolydian;4;b;11;1;3;4;6;8;9;;Bb;C;D;Eb;F;G;Ab;;maj;min;dim;maj;min;min;maj;
60;12;B;Modes of the Major Scale;5;Mixolydian;5;;12;2;4;5;7;9;10;;B;C#;D#;E;F#;G#;A;;maj;min;dim;maj;min;min;maj;
61;1;C;Modes of the Major Scale;6;Aeolian;4;b;1;3;4;6;8;9;11;;C;D;Eb;F;G;Ab;Bb;;min;dim;maj;min;min;maj;maj;
62;2;C#;Modes of the Major Scale;6;Aeolian;5;;2;4;5;7;9;10;12;;C#;D#;E;F#;G#;A;B;;min;dim;maj;min;min;maj;maj;
63;3;D;Modes of the Major Scale;6;Aeolian;6;b;3;5;6;8;10;11;1;;D;E;F;G;A;Bb;C;;min;dim;maj;min;min;maj;maj;
64;4;D#;Modes of the Major Scale;6;Aeolian;7;;4;6;7;9;11;12;2;;D#;F;F#;G#;A#;B;C#;;min;dim;maj;min;min;maj;maj;
65;5;E;Modes of the Major Scale;6;Aeolian;8;;5;7;8;10;12;1;3;;E;F#;G;A;B;C;D;;min;dim;maj;min;min;maj;maj;
66;6;F;Modes of the Major Scale;6;Aeolian;9;b;6;8;9;11;1;2;4;;F;G;Ab;Bb;C;Db;Eb;;min;dim;maj;min;min;maj;maj;
67;7;F#;Modes of the Major Scale;6;Aeolian;10;;7;9;10;12;2;3;5;;F#;G#;A;B;C#;D;E;;min;dim;maj;min;min;maj;maj;
68;8;G;Modes of the Major Scale;6;Aeolian;11;b;8;10;11;1;3;4;6;;G;A;Bb;C;D;Eb;F;;min;dim;maj;min;min;maj;maj;
69;9;G#;Modes of the Major Scale;6;Aeolian;12;;9;11;12;2;4;5;7;;G#;A#;B;C#;D#;E;F#;;min;dim;maj;min;min;maj;maj;
70;10;A;Modes of the Major Scale;6;Aeolian;1;b;10;12;1;3;5;6;8;;A;B;C;D;E;F;G;;min;dim;maj;min;min;maj;maj;
71;11;Bb;Modes of the Major Scale;6;Aeolian;2;b;11;1;2;4;6;7;9;;Bb;C;Db;Eb;F;Gb;Ab;;min;dim;maj;min;min;maj;maj;
72;12;B;Modes of the Major Scale;6;Aeolian;3;;12;2;3;5;7;8;10;;B;C#;D;E;F#;G;A;;min;dim;maj;min;min;maj;maj;
73;1;C;Modes of the Major Scale;7;Locrian;2;b;1;2;4;6;7;9;11;;C;Db;Eb;F;Gb;Ab;Bb;;dim;maj;min;min;maj;maj;min;
74;2;C#;Modes of the Major Scale;7;Locrian;3;;2;3;5;7;8;10;12;;C#;D;E;F#;G;A;B;;dim;maj;min;min;maj;maj;min;
75;3;D;Modes of the Major Scale;7;Locrian;4;b;3;4;6;8;9;11;1;;D;Eb;F;G;Ab;Bb;C;;dim;maj;min;min;maj;maj;min;
76;4;D#;Modes of the Major Scale;7;Locrian;5;;4;5;7;9;10;12;2;;D#;E;F#;G#;A;B;C#;;dim;maj;min;min;maj;maj;min;
77;5;E;Modes of the Major Scale;7;Locrian;6;b;5;6;8;10;11;1;3;;E;F;G;A;Bb;C;D;;dim;maj;min;min;maj;maj;min;
78;6;F;Modes of the Major Scale;7;Locrian;7;;6;7;9;11;12;2;4;;F;F#;G#;A#;B;C#;D#;;dim;maj;min;min;maj;maj;min;
79;7;F#;Modes of the Major Scale;7;Locrian;8;;7;8;10;12;1;3;5;;F#;G;A;B;C;D;E;;dim;maj;min;min;maj;maj;min;
80;8;G;Modes of the Major Scale;7;Locrian;9;b;8;9;11;1;2;4;6;;G;Ab;Bb;C;Db;Eb;F;;dim;maj;min;min;maj;maj;min;
81;9;G#;Modes of the Major Scale;7;Locrian;10;;9;10;12;2;3;5;7;;G#;A;B;C#;D;E;F#;;dim;maj;min;min;maj;maj;min;
82;10;A;Modes of the Major Scale;7;Locrian;11;b;10;11;1;3;4;6;8;;A;Bb;C;D;Eb;F;G;;dim;maj;min;min;maj;maj;min;
83;11;A#;Modes of the Major Scale;7;Locrian;12;;11;12;2;4;5;7;9;;A#;B;C#;D#;E;F#;G#;;dim;maj;min;min;maj;maj;min;
84;12;B;Modes of the Major Scale;7;Locrian;1;b;12;1;3;5;6;8;10;;B;C;D;E;F;G;A;;dim;maj;min;min;maj;maj;min;
85;1;C;Modes of Harmonic Minor;1;Harmonic Minor;4;b;1;3;4;6;8;9;12;;C;D;Eb;F;G;Ab;B;;min;dim;aug;min;maj;maj;dim;
86;2;C#;Modes of Harmonic Minor;1;Harmonic Minor;5;;2;4;5;7;9;10;1;;C#;D#;E;F#;G#;A;C;;min;dim;aug;min;maj;maj;dim;
87;3;D;Modes of Harmonic Minor;1;Harmonic Minor;6;b;3;5;6;8;10;11;2;;D;E;F;G;A;Bb;Db;;min;dim;aug;min;maj;maj;dim;
88;4;D#;Modes of Harmonic Minor;1;Harmonic Minor;7;;4;6;7;9;11;12;3;;D#;F;F#;G#;A#;B;D;;min;dim;aug;min;maj;maj;dim;
89;5;E;Modes of Harmonic Minor;1;Harmonic Minor;8;;5;7;8;10;12;1;4;;E;F#;G;A;B;C;D#;;min;dim;aug;min;maj;maj;dim;
90;6;F;Modes of Harmonic Minor;1;Harmonic Minor;9;b;6;8;9;11;1;2;5;;F;G;Ab;Bb;C;Db;E;;min;dim;aug;min;maj;maj;dim;
91;7;F#;Modes of Harmonic Minor;1;Harmonic Minor;10;;7;9;10;12;2;3;6;;F#;G#;A;B;C#;D;F;;min;dim;aug;min;maj;maj;dim;
92;8;G;Modes of Harmonic Minor;1;Harmonic Minor;11;b;8;10;11;1;3;4;7;;G;A;Bb;C;D;Eb;Gb;;min;dim;aug;min;maj;maj;dim;
93;9;G#;Modes of Harmonic Minor;1;Harmonic Minor;12;;9;11;12;2;4;5;8;;G#;A#;B;C#;D#;E;G;;min;dim;aug;min;maj;maj;dim;
94;10;A;Modes of Harmonic Minor;1;Harmonic Minor;1;b;10;12;1;3;5;6;9;;A;B;C;D;E;F;Ab;;min;dim;aug;min;maj;maj;dim;
95;11;Bb;Modes of Harmonic Minor;1;Harmonic Minor;2;b;11;1;2;4;6;7;10;;Bb;C;Db;Eb;F;Gb;A;;min;dim;aug;min;maj;maj;dim;
96;12;B;Modes of Harmonic Minor;1;Harmonic Minor;3;;12;2;3;5;7;8;11;;B;C#;D;E;F#;G;A#;;min;dim;aug;min;maj;maj;dim;
97;1;C;Modes of Harmonic Minor;2;Lociran n6;2;b;1;2;4;6;7;10;11;;C;Db;Eb;F;Gb;A;Bb;;dim;aug;min;maj;maj;dim;min;
98;2;C#;Modes of Harmonic Minor;2;Lociran n6;3;;2;3;5;7;8;11;12;;C#;D;E;F#;G;A#;B;;dim;aug;min;maj;maj;dim;min;
99;3;D;Modes of Harmonic Minor;2;Lociran n6;4;b;3;4;6;8;9;12;1;;D;Eb;F;G;Ab;B;C;;dim;aug;min;maj;maj;dim;min;
100;4;D#;Modes of Harmonic Minor;2;Lociran n6;5;;4;5;7;9;10;1;2;;D#;E;F#;G#;A;C;C#;;dim;aug;min;maj;maj;dim;min;
101;5;E;Modes of Harmonic Minor;2;Lociran n6;6;b;5;6;8;10;11;2;3;;E;F;G;A;Bb;Db;D;;dim;aug;min;maj;maj;dim;min;
102;6;F;Modes of Harmonic Minor;2;Lociran n6;7;;6;7;9;11;12;3;4;;F;F#;G#;A#;B;D;D#;;dim;aug;min;maj;maj;dim;min;
103;7;F#;Modes of Harmonic Minor;2;Lociran n6;8;;7;8;10;12;1;4;5;;F#;G;A;B;C;D#;E;;dim;aug;min;maj;maj;dim;min;
104;8;G;Modes of Harmonic Minor;2;Lociran n6;9;b;8;9;11;1;2;5;6;;G;Ab;Bb;C;Db;E;F;;dim;aug;min;maj;maj;dim;min;
105;9;G#;Modes of Harmonic Minor;2;Lociran n6;10;;9;10;12;2;3;6;7;;G#;A;B;C#;D;F;F#;;dim;aug;min;maj;maj;dim;min;
106;10;A;Modes of Harmonic Minor;2;Lociran n6;11;b;10;11;1;3;4;7;8;;A;Bb;C;D;Eb;Gb;G;;dim;aug;min;maj;maj;dim;min;
107;11;A#;Modes of Harmonic Minor;2;Lociran n6;12;;11;12;2;4;5;8;9;;A#;B;C#;D#;E;G;G#;;dim;aug;min;maj;maj;dim;min;
108;12;B;Modes of Harmonic Minor;2;Lociran n6;1;b;12;1;3;5;6;9;10;;B;C;D;E;F;Ab;A;;dim;aug;min;maj;maj;dim;min;
109;1;C;Modes of Harmonic Minor;3;Ionian s5;1;b;1;3;5;6;9;10;12;;C;D;E;F;Ab;A;B;;aug;min;maj;maj;dim;min;dim;
110;2;Db;Modes of Harmonic Minor;3;Ionian s5;2;b;2;4;6;7;10;11;1;;Db;Eb;F;Gb;A;Bb;C;;aug;min;maj;maj;dim;min;dim;
111;3;D;Modes of Harmonic Minor;3;Ionian s5;3;;3;5;7;8;11;12;2;;D;E;F#;G;A#;B;C#;;aug;min;maj;maj;dim;min;dim;
112;4;Eb;Modes of Harmonic Minor;3;Ionian s5;4;b;4;6;8;9;12;1;3;;Eb;F;G;Ab;B;C;D;;aug;min;maj;maj;dim;min;dim;
113;5;E;Modes of Harmonic Minor;3;Ionian s5;5;;5;7;9;10;1;2;4;;E;F#;G#;A;C;C#;D#;;aug;min;maj;maj;dim;min;dim;
114;6;F;Modes of Harmonic Minor;3;Ionian s5;6;b;6;8;10;11;2;3;5;;F;G;A;Bb;Db;D;E;;aug;min;maj;maj;dim;min;dim;
115;7;F#;Modes of Harmonic Minor;3;Ionian s5;7;;7;9;11;12;3;4;6;;F#;G#;A#;B;D;D#;F;;aug;min;maj;maj;dim;min;dim;
116;8;G;Modes of Harmonic Minor;3;Ionian s5;8;;8;10;12;1;4;5;7;;G;A;B;C;D#;E;F#;;aug;min;maj;maj;dim;min;dim;
117;9;Ab;Modes of Harmonic Minor;3;Ionian s5;9;b;9;11;1;2;5;6;8;;Ab;Bb;C;Db;E;F;G;;aug;min;maj;maj;dim;min;dim;
118;10;A;Modes of Harmonic Minor;3;Ionian s5;10;;10;12;2;3;6;7;9;;A;B;C#;D;F;F#;G#;;aug;min;maj;maj;dim;min;dim;
119;11;Bb;Modes of Harmonic Minor;3;Ionian s5;11;b;11;1;3;4;7;8;10;;Bb;C;D;Eb;Gb;G;A;;aug;min;maj;maj;dim;min;dim;
120;12;B;Modes of Harmonic Minor;3;Ionian s5;12;;12;2;4;5;8;9;11;;B;C#;D#;E;G;G#;A#;;aug;min;maj;maj;dim;min;dim;
121;1;C;Modes of Harmonic Minor;4;Dorian s4;11;b;1;3;4;7;8;10;11;;C;D;Eb;Gb;G;A;Bb;;min;maj;maj;dim;min;dim;aug;
122;2;C#;Modes of Harmonic Minor;4;Dorian s4;12;;2;4;5;8;9;11;12;;C#;D#;E;G;G#;A#;B;;min;maj;maj;dim;min;dim;aug;
123;3;D;Modes of Harmonic Minor;4;Dorian s4;1;b;3;5;6;9;10;12;1;;D;E;F;Ab;A;B;C;;min;maj;maj;dim;min;dim;aug;
124;4;Eb;Modes of Harmonic Minor;4;Dorian s4;2;b;4;6;7;10;11;1;2;;Eb;F;Gb;A;Bb;C;Db;;min;maj;maj;dim;min;dim;aug;
125;5;E;Modes of Harmonic Minor;4;Dorian s4;3;;5;7;8;11;12;2;3;;E;F#;G;A#;B;C#;D;;min;maj;maj;dim;min;dim;aug;
126;6;F;Modes of Harmonic Minor;4;Dorian s4;4;b;6;8;9;12;1;3;4;;F;G;Ab;B;C;D;Eb;;min;maj;maj;dim;min;dim;aug;
127;7;F#;Modes of Harmonic Minor;4;Dorian s4;5;;7;9;10;1;2;4;5;;F#;G#;A;C;C#;D#;E;;min;maj;maj;dim;min;dim;aug;
128;8;G;Modes of Harmonic Minor;4;Dorian s4;6;b;8;10;11;2;3;5;6;;G;A;Bb;Db;D;E;F;;min;maj;maj;dim;min;dim;aug;
129;9;G#;Modes of Harmonic Minor;4;Dorian s4;7;;9;11;12;3;4;6;7;;G#;A#;B;D;D#;F;F#;;min;maj;maj;dim;min;dim;aug;
130;10;A;Modes of Harmonic Minor;4;Dorian s4;8;;10;12;1;4;5;7;8;;A;B;C;D#;E;F#;G;;min;maj;maj;dim;min;dim;aug;
131;11;Bb;Modes of Harmonic Minor;4;Dorian s4;9;b;11;1;2;5;6;8;9;;Bb;C;Db;E;F;G;Ab;;min;maj;maj;dim;min;dim;aug;
132;12;B;Modes of Harmonic Minor;4;Dorian s4;10;;12;2;3;6;7;9;10;;B;C#;D;F;F#;G#;A;;min;maj;maj;dim;min;dim;aug;
133;1;C;Modes of Harmonic Minor;5;Phrygian Dominant;9;b;1;2;5;6;8;9;11;;C;Db;E;F;G;Ab;Bb;;maj;maj;dim;min;dim;aug;min;
134;2;C#;Modes of Harmonic Minor;5;Phrygian Dominant;10;;2;3;6;7;9;10;12;;C#;D;F;F#;G#;A;B;;maj;maj;dim;min;dim;aug;min;
135;3;D;Modes of Harmonic Minor;5;Phrygian Dominant;11;b;3;4;7;8;10;11;1;;D;Eb;Gb;G;A;Bb;C;;maj;maj;dim;min;dim;aug;min;
136;4;D#;Modes of Harmonic Minor;5;Phrygian Dominant;12;;4;5;8;9;11;12;2;;D#;E;G;G#;A#;B;C#;;maj;maj;dim;min;dim;aug;min;
137;5;E;Modes of Harmonic Minor;5;Phrygian Dominant;1;b;5;6;9;10;12;1;3;;E;F;Ab;A;B;C;D;;maj;maj;dim;min;dim;aug;min;
138;6;F;Modes of Harmonic Minor;5;Phrygian Dominant;2;b;6;7;10;11;1;2;4;;F;Gb;A;Bb;C;Db;Eb;;maj;maj;dim;min;dim;aug;min;
139;7;F#;Modes of Harmonic Minor;5;Phrygian Dominant;3;;7;8;11;12;2;3;5;;F#;G;A#;B;C#;D;E;;maj;maj;dim;min;dim;aug;min;
140;8;G;Modes of Harmonic Minor;5;Phrygian Dominant;4;b;8;9;12;1;3;4;6;;G;Ab;B;C;D;Eb;F;;maj;maj;dim;min;dim;aug;min;
141;9;G#;Modes of Harmonic Minor;5;Phrygian Dominant;5;;9;10;1;2;4;5;7;;G#;A;C;C#;D#;E;F#;;maj;maj;dim;min;dim;aug;min;
142;10;A;Modes of Harmonic Minor;5;Phrygian Dominant;6;b;10;11;2;3;5;6;8;;A;Bb;Db;D;E;F;G;;maj;maj;dim;min;dim;aug;min;
143;11;A#;Modes of Harmonic Minor;5;Phrygian Dominant;7;;11;12;3;4;6;7;9;;A#;B;D;D#;F;F#;G#;;maj;maj;dim;min;dim;aug;min;
144;12;B;Modes of Harmonic Minor;5;Phrygian Dominant;8;;12;1;4;5;7;8;10;;B;C;D#;E;F#;G;A;;maj;maj;dim;min;dim;aug;min;
145;1;C;Modes of Harmonic Minor;6;Lydian s2;8;;1;4;5;7;8;10;12;;C;D#;E;F#;G;A;B;;maj;dim;min;dim;aug;min;maj;
146;2;Db;Modes of Harmonic Minor;6;Lydian s2;9;b;2;5;6;8;9;11;1;;Db;E;F;G;Ab;Bb;C;;maj;dim;min;dim;aug;min;maj;
147;3;D;Modes of Harmonic Minor;6;Lydian s2;10;;3;6;7;9;10;12;2;;D;F;F#;G#;A;B;C#;;maj;dim;min;dim;aug;min;maj;
148;4;Eb;Modes of Harmonic Minor;6;Lydian s2;11;b;4;7;8;10;11;1;3;;Eb;Gb;G;A;Bb;C;D;;maj;dim;min;dim;aug;min;maj;
149;5;E;Modes of Harmonic Minor;6;Lydian s2;12;;5;8;9;11;12;2;4;;E;G;G#;A#;B;C#;D#;;maj;dim;min;dim;aug;min;maj;
150;6;F;Modes of Harmonic Minor;6;Lydian s2;1;b;6;9;10;12;1;3;5;;F;Ab;A;B;C;D;E;;maj;dim;min;dim;aug;min;maj;
151;7;Gb;Modes of Harmonic Minor;6;Lydian s2;2;b;7;10;11;1;2;4;6;;Gb;A;Bb;C;Db;Eb;F;;maj;dim;min;dim;aug;min;maj;
152;8;G;Modes of Harmonic Minor;6;Lydian s2;3;;8;11;12;2;3;5;7;;G;A#;B;C#;D;E;F#;;maj;dim;min;dim;aug;min;maj;
